Date,Open,High,Low,Close,Volume,Dividends,StockSplits
2010-01-04,6.461437678638631,6.493831081965035,6.429649774597023,6.478996753692627,493729600,0.0,0.0
2010-01-05,6.496860059123867,6.526831470277345,6.4559892548328754,6.490199565887451,601904800,0.0,0.0
2010-01-06,6.49020050975756,6.515933833162732,6.380304780605739,6.386965274810791,552160000,0.0,0.0
2010-01-07,6.410577710739484,6.4181464526960585,6.328836914429185,6.375156402587891,477131200,0.0,0.0
2010-01-08,6.366680763006775,6.418147407558097,6.329141414137945,6.41754150390625,447610800,0.0,0.0
2010-01-11,6.442365292727299,6.448420285986331,6.310672422984618,6.360928058624268,462229600,0.0,0.0
2010-01-12,6.333075783795248,6.350635671497071,6.249216537844598,6.288572788238525,594459600,0.0,0.0
2010-01-13,6.293114829307223,6.385753412608491,6.178980612047828,6.377276420593262,605892000,0.0,0.0
2010-01-14,6.360929025038805,6.371524860646777,6.327929710968662,6.340342044830322,432894000,0.0,0.0
2010-01-15,6.385752882727393,6.406037111937818,6.232565177581968,6.234381675720215,594067600,0.0,0.0
2010-01-19,6.307041196627258,6.514722673220387,6.274042686722451,6.510181427001953,730007600,0.0,0.0
2010-01-20,6.506244236728063,6.525619812089219,6.3424607015081795,6.409972667694092,612152800,0.0,0.0
2010-01-21,6.420568714857,6.457805714203182,6.273132444900026,6.299168109893799,608154400,0.0,0.0
2010-01-22,6.260114119783512,6.281911285984174,5.968875830496939,5.986737251281738,881767600,0.0,0.0
2010-01-25,6.130844005290583,6.197144169535634,6.060607690682671,6.147797584533691,1065699600,0.0,0.0
2010-01-26,6.234988170728043,6.4699167127881605,6.132963934236014,6.23468542098999,1867110000,0.0,0.0
2010-01-27,6.262233687012482,6.375156489100733,6.040625769978811,6.293416500091553,1722568400,0.0,0.0
2010-01-28,6.204108076952968,6.221364001294238,6.0154990575261404,6.033360481262207,1173502400,0.0,0.0
2010-01-29,6.087552094642968,6.121459253599682,5.759681435884897,5.814477920532227,1245952400,0.0,0.0
2010-02-01,5.823863083497587,5.933758808656298,5.791469671269648,5.895310401916504,749876400,0.0,0.0
2010-02-02,5.931034282944114,5.943446617106479,5.854440221545488,5.929520130157471,698342400,0.0,0.0
2010-02-03,5.908631123345163,6.0609110052254405,5.885925297601764,6.0315446853637695,615328000,0.0,0.0
2010-02-04,5.955858428112263,6.005508572180559,5.799643619682588,5.814175605773926,757652000,0.0,0.0
2010-02-05,5.8317336859829725,5.933757902699374,5.777845051465583,5.917409420013428,850306800,0.0,0.0
2010-02-08,5.92437243125633,5.990672987104545,5.8732085493423085,5.8768415451049805,478270800,0.0,0.0
2010-02-09,5.946472706716262,5.9791688621475245,5.89591472524337,5.939509868621826,632886800,0.0,0.0
2010-02-10,5.93042589416871,5.951921520687396,5.881079324550795,5.9071149826049805,370361600,0.0,0.0
2010-02-11,5.899850960176539,6.047286825714709,5.875025889776523,6.014590263366699,550345600,0.0,0.0
2010-02-12,5.997638440111281,6.1045070910387285,5.918622768843235,6.066361427307129,655468800,0.0,0.0
2010-02-16,6.113587628580695,6.166567613827158,6.100872545299003,6.157788276672363,543737600,0.0,0.0
2010-02-17,6.1817046162812295,6.185337612659956,6.080890987797567,6.132055282592773,436396800,0.0,0.0
2010-02-18,6.104200501018249,6.172621108657392,6.082706085802343,6.143557548522949,422825200,0.0,0.0
